,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_TIME_BLK,CANCELLED,DIVERTED,DISTANCE,ORIGIN_CITY,ORIGIN_STATE_OR_REGION,ORIGIN_FULL_NAME,GMT_DEP,DEST_CITY,DEST_STATE_OR_REGION,DEST_FULL_NAME,GMT_ARR
449890,22,2,AS,AS,N274AK,51,ORD,SEA,1700-1759,1.0,0.0,1721.0,Chicago,IL,Illinois,6,Seattle,WA,Washington,8
449898,22,2,AS,AS,N274AK,56,SEA,ORD,1000-1059,1.0,0.0,1721.0,Seattle,WA,Washington,8,Chicago,IL,Illinois,6
449899,22,2,AS,AS,N274AK,56,SEA,ORD,1000-1059,1.0,0.0,1721.0,Seattle,WA,Washington,8,Chicago,IL,Illinois,6
449905,22,2,AS,AS,N618AS,61,JNU,YAK,1000-1059,1.0,0.0,198.0,Juneau,AK,Alaska,9,Yakutat,AK,Alaska,9
449908,22,2,AS,AS,N618AS,61,YAK,CDV,1200-1259,1.0,0.0,213.0,Yakutat,AK,Alaska,9,Cordova,AK,Alaska,9
449912,22,2,AS,AS,N587AS,62,JNU,SIT,1000-1059,1.0,0.0,95.0,Juneau,AK,Alaska,9,Sitka,AK,Alaska,9
449917,22,2,AS,AS,N619AS,64,JNU,PSG,1300-1359,1.0,0.0,123.0,Juneau,AK,Alaska,9,Petersburg,AK,Alaska,9
449923,22,2,AS,AS,N613AS,65,JNU,ANC,1300-1359,1.0,0.0,571.0,Juneau,AK,Alaska,9,Anchorage,AK,Alaska,9
449938,22,2,AS,AS,N619AS,73,JNU,ANC,0700-0759,1.0,0.0,571.0,Juneau,AK,Alaska,9,Anchorage,AK,Alaska,9
449939,22,2,AS,AS,N248AK,75,SEA,JNU,1100-1159,1.0,0.0,909.0,Seattle,WA,Washington,8,Juneau,AK,Alaska,9
449940,22,2,AS,AS,N248AK,76,JNU,SEA,1400-1459,1.0,0.0,909.0,Juneau,AK,Alaska,9,Seattle,WA,Washington,8
450003,22,2,AS,AS,N517AS,180,ANC,JNU,2200-2259,1.0,0.0,571.0,Anchorage,AK,Alaska,9,Juneau,AK,Alaska,9
450202,22,2,AS,AS,N403AS,769,BOS,SAN,1700-1759,1.0,0.0,2588.0,Boston,MA,Massachusetts,5,San Diego,CA,California,8
450218,22,2,AS,AS,N403AS,798,SAN,BOS,0700-0759,1.0,0.0,2588.0,San Diego,CA,California,8,Boston,MA,Massachusetts,5
450328,22,2,EV,EV,N14558,4413,ORD,SAV,1400-1459,1.0,0.0,773.0,Chicago,IL,Illinois,6,Savannah,GA,Georgia,5
450329,22,2,EV,EV,N14558,4413,ORD,SAV,1400-1459,1.0,0.0,773.0,Chicago,IL,Illinois,6,Savannah,GA,Georgia,5
450330,22,2,EV,EV,N905EV,4414,ORD,MLI,1600-1659,1.0,0.0,139.0,Chicago,IL,Illinois,6,Moline,IL,Illinois,6
450331,22,2,EV,EV,N905EV,4414,ORD,MLI,1600-1659,1.0,0.0,139.0,Chicago,IL,Illinois,6,Moline,IL,Illinois,6
450338,22,2,EV,EV,N909EV,4423,LEX,ORD,0600-0659,1.0,0.0,323.0,Lexington,KY,Kentucky,5,Chicago,IL,Illinois,6
450339,22,2,EV,EV,N909EV,4423,LEX,ORD,0600-0659,1.0,0.0,323.0,Lexington,KY,Kentucky,5,Chicago,IL,Illinois,6
450340,22,2,EV,EV,N870AS,4424,ORD,CVG,1500-1559,1.0,0.0,264.0,Chicago,IL,Illinois,6,Cincinnati,OH,Ohio,5
450341,22,2,EV,EV,N870AS,4424,ORD,CVG,1500-1559,1.0,0.0,264.0,Chicago,IL,Illinois,6,Cincinnati,OH,Ohio,5
